customer_id,tenure_months,monthly_charges,total_charges,contract_type,support_calls,churn
C00000,7,26.21,207.63,month,3,1
C00001,55,65.83,3756.93,year,5,1
C00002,47,32.9,1388.49,year,0,1
C00003,32,35.23,1238.15,month,7,1
C00004,31,83.23,2151.29,month,4,1
C00005,61,59.29,4013.68,month,4,1
C00006,7,112.19,813.6,year,1,1
C00007,50,51.92,2191.8,year,4,1
C00008,15,92.62,1155.62,year,0,1
C00009,7,66.11,509.2,month,7,1
C00010,38,86.0,2997.33,month,5,1
C00011,70,79.97,6469.61,year,3,1
C00012,53,67.28,3939.64,month,6,1
C00013,55,115.01,6827.01,year,6,1
C00014,51,54.27,2522.66,month,0,1
C00015,56,37.72,2288.86,month,0,1
C00016,37,87.81,3831.38,year,2,1
C00017,10,104.6,875.11,year,0,1
C00018,60,24.03,1341.54,year,4,1
C00019,32,64.96,1858.1,month,4,1
C00020,36,109.25,3765.06,two_year,4,1
C00021,27,94.96,2812.45,two_year,0,1
C00022,13,119.18,1533.38,two_year,7,1
C00023,66,73.14,4963.81,year,7,1
C00024,56,86.0,4457.99,year,4,1
C00025,46,50.25,1979.84,year,0,1
C00026,29,114.75,3017.52,month,3,1
C00027,59,56.63,3821.87,month,5,1
C00028,39,93.85,3810.09,year,5,1
C00029,32,60.31,1835.73,month,1,1
C00030,32,76.18,2720.45,month,6,1
C00031,17,91.98,1291.24,two_year,7,1
C00032,7,70.89,447.38,month,4,1
C00033,40,110.71,3950.32,year,3,1
C00034,64,61.93,4733.02,year,4,1
C00035,5,84.71,458.47,month,0,1
C00036,61,54.24,3464.52,two_year,4,1
C00037,59,60.82,2877.86,month,0,1
C00038,20,64.01,1118.54,two_year,0,1
C00039,45,32.58,1545.59,year,4,1
C00040,12,29.17,333.2,month,4,1
C00041,54,86.75,5479.52,month,7,1
C00042,50,85.55,4730.44,month,4,1
C00043,26,86.29,2196.32,month,7,1
C00044,5,21.98,120.87,month,6,1
C00045,69,52.65,4323.68,two_year,2,1
C00046,32,39.78,1253.09,month,7,1
C00047,64,97.82,6617.39,two_year,3,1
C00048,49,106.06,6067.25,month,4,1
C00049,56,44.67,2250.04,two_year,0,1
C00050,54,86.78,5410.7,month,1,1
C00051,14,32.94,386.92,month,4,1
C00052,26,47.52,1308.88,year,2,1
C00053,34,33.87,1281.86,month,4,1
C00054,36,48.35,1820.39,two_year,0,1
C00055,4,87.47,349.26,month,2,1
C00056,39,111.03,4533.42,year,5,1
C00057,11,40.25,381.06,year,4,1
C00058,53,74.21,3485.65,year,7,1
C00059,49,90.14,4010.33,month,7,1
C00060,66,115.29,7906.75,month,6,1
C00061,53,81.01,4193.75,month,0,1
C00062,27,45.51,1103.18,month,4,1
C00063,69,82.55,6568.14,month,1,1
C00064,30,52.05,1482.75,two_year,2,1
C00065,24,117.61,2761.71,year,1,1
C00066,65,59.97,3757.25,year,3,1
C00067,27,88.54,2086.44,month,0,1
C00068,6,22.32,146.33,month,4,1
C00069,34,60.01,1998.27,year,1,1
C00070,57,107.51,4942.31,month,4,1
C00071,14,81.02,1344.81,month,5,1
C00072,33,64.39,2393.25,year,1,1
C00073,10,113.59,1237.48,year,0,1
C00074,49,105.4,5927.08,two_year,6,1
C00075,34,52.22,2064.39,month,5,1
C00076,24,74.45,1670.65,year,2,1
C00077,17,68.98,1224.71,month,7,1
C00078,41,83.22,3560.52,month,1,1
C00079,48,53.41,2325.05,year,7,1
C00080,67,44.42,2645.14,month,0,1
C00081,32,111.27,3010.75,year,5,1
C00082,12,112.39,1434.63,month,0,1
C00083,60,104.33,6963.2,month,1,1
C00084,45,117.82,5855.32,two_year,3,1
C00085,50,94.5,4377.76,month,0,1
C00086,7,96.47,595.68,year,3,1
C00087,23,96.26,2172.9,month,1,1
C00088,55,68.06,3813.39,two_year,0,1
C00089,60,65.65,4599.31,month,7,1
C00090,31,44.02,1569.22,month,7,1
C00091,58,84.48,5715.29,year,7,1
C00092,60,48.93,3347.12,month,1,1
C00093,28,45.78,1520.05,month,3,1
C00094,64,78.6,4960.98,two_year,2,1
C00095,21,61.0,1049.13,year,2,1
C00096,18,41.89,628.42,year,3,1
C00097,49,101.61,4760.37,year,4,1
C00098,46,106.06,4405.89,two_year,3,1
C00099,10,36.77,319.15,two_year,2,1
C00100,60,20.75,1470.7,year,7,1
C00101,15,53.61,706.18,month,7,1
C00102,58,99.75,6848.6,month,2,1
C00103,1,103.92,114.76,year,1,1
C00104,57,33.83,2037.02,two_year,4,1
C00105,56,97.43,5840.23,year,2,1
C00106,56,31.57,1648.74,month,7,1
C00107,48,59.01,2998.38,month,3,1
C00108,34,119.86,3564.52,year,0,1
C00109,51,39.26,2352.82,two_year,1,1
C00110,20,35.4,651.87,month,0,1
C00111,56,62.28,3146.15,year,3,1
C00112,40,81.97,3555.74,year,2,1
C00113,33,113.29,3972.53,two_year,6,1
C00114,36,118.08,4168.07,month,7,1
C00115,41,26.96,1163.92,two_year,1,1
C00116,3,33.8,87.59,year,7,1
C00117,10,99.07,1059.39,year,4,1
C00118,18,47.06,769.36,month,2,1
C00119,9,108.48,887.61,year,3,1
C00120,32,86.35,2389.81,year,3,1
C00121,48,31.18,1396.29,month,1,1
C00122,47,103.25,4525.19,month,6,1
C00123,34,37.64,1256.3,year,0,1
C00124,61,62.35,3332.37,year,0,1
C00125,41,75.22,2705.31,month,2,1
C00126,6,70.08,427.5,month,1,1
C00127,55,88.62,4150.54,month,0,1
C00128,41,85.27,3760.23,two_year,3,1
C00129,46,119.2,6456.9,two_year,3,1
C00130,41,119.94,4773.55,month,1,1
C00131,40,71.65,3325.83,month,6,1
C00132,7,29.52,173.44,month,7,1
C00133,40,92.78,3032.73,year,5,1
C00134,57,117.67,7301.1,two_year,4,1
C00135,22,51.83,1259.31,year,7,1
C00136,43,66.12,3233.31,month,2,1
C00137,3,62.48,154.21,month,3,1
C00138,25,25.14,698.11,month,0,1
C00139,32,87.23,2653.51,two_year,5,1
C00140,70,55.33,3568.42,year,0,1
C00141,16,98.75,1373.35,year,5,1
C00142,20,103.21,2473.75,month,6,1
C00143,30,102.12,2528.9,two_year,1,1
C00144,71,61.67,4951.3,month,4,1
C00145,61,52.15,3358.65,two_year,2,1
C00146,3,94.88,311.41,two_year,3,1
C00147,17,100.14,1846.55,year,4,1
C00148,59,69.13,4663.44,two_year,1,1
C00149,5,109.3,477.38,month,6,1
C00150,61,34.39,1678.92,year,3,1
C00151,20,107.91,2243.26,month,3,1
C00152,66,29.61,1840.02,year,6,1
C00153,21,35.35,630.64,month,1,1
C00154,31,73.38,1989.19,month,3,1
C00155,47,26.75,1172.64,month,7,1
C00156,9,25.28,188.41,month,3,1
C00157,40,20.05,659.86,year,0,1
C00158,36,63.63,2671.87,year,2,1
C00159,56,97.46,5047.56,month,7,1
C00160,71,23.48,1988.65,two_year,6,0
C00161,48,85.23,4850.94,two_year,6,1
C00162,30,102.31,2630.48,month,2,1
C00163,29,36.8,1158.95,month,6,1
C00164,30,34.69,1082.66,year,3,1
C00165,58,106.08,6621.83,year,6,1
C00166,23,102.31,1973.04,month,7,1
C00167,12,73.89,776.22,year,1,1
C00168,24,101.92,2031.85,month,7,1
C00169,2,29.28,61.0,month,5,1
C00170,8,59.45,568.17,year,5,1
C00171,7,93.78,701.62,year,6,1
C00172,55,45.75,2728.38,two_year,1,1
C00173,52,95.23,5911.82,month,5,1
C00174,50,70.42,3771.71,month,1,1
C00175,33,95.03,2559.2,month,2,1
C00176,51,66.47,3887.63,month,0,1
C00177,12,56.79,644.59,month,1,1
C00178,64,41.92,2150.99,year,7,1
C00179,36,40.84,1474.49,year,2,1
C00180,67,95.15,7489.45,year,3,1
C00181,11,31.89,316.74,month,3,1
C00182,36,28.6,1026.1,month,5,1
C00183,50,37.63,1635.98,year,4,1
C00184,36,37.53,1112.04,month,4,1
C00185,32,102.31,2724.62,two_year,6,1
C00186,12,59.85,783.42,month,3,1
C00187,28,119.04,3818.52,year,6,1
C00188,17,33.72,491.45,two_year,7,1
C00189,22,85.35,1718.71,year,5,1
C00190,49,64.87,2790.87,year,0,1
C00191,45,59.29,2163.1,year,2,1
C00192,44,107.51,4831.54,month,4,1
C00193,26,117.56,3300.99,year,3,1
C00194,69,107.29,7840.91,two_year,2,1
C00195,7,39.23,262.31,two_year,2,1
C00196,25,42.08,1075.15,month,0,1
C00197,9,85.61,645.39,month,1,1
C00198,25,48.91,1053.67,year,6,1
C00199,69,93.47,7563.36,year,0,1
C00200,27,76.64,2285.73,month,6,1
C00201,65,75.09,5706.18,month,2,1
C00202,36,102.85,4319.72,month,6,1
C00203,50,91.05,4824.54,year,2,1
C00204,33,22.66,875.87,month,6,1
C00205,19,24.95,458.26,month,4,1
C00206,55,80.16,3533.42,month,6,1
C00207,69,68.62,3906.33,two_year,0,1
C00208,19,46.02,737.8,month,6,1
C00209,56,61.87,2903.93,month,2,1
C00210,19,95.79,1712.05,year,2,1
C00211,51,102.66,5657.17,month,0,1
C00212,57,76.12,4843.27,two_year,7,1
C00213,32,58.54,1940.88,two_year,5,1
C00214,53,47.07,2141.89,month,7,1
C00215,20,72.19,1586.97,month,4,1
C00216,6,51.47,290.88,month,1,1
C00217,7,76.41,430.68,month,2,1
C00218,32,87.67,2559.22,month,3,1
C00219,65,26.61,1612.45,month,1,1
C00220,10,20.11,182.94,month,7,1
C00221,33,41.23,1530.32,year,7,1
C00222,50,109.45,6041.48,month,4,1
C00223,15,84.63,1368.75,month,4,1
C00224,52,37.2,1655.08,year,5,1
C00225,22,109.03,2694.02,month,5,1
C00226,58,67.0,4161.4,month,0,1
C00227,42,67.61,2493.0,month,4,1
C00228,39,113.55,4690.78,month,6,1
C00229,13,25.95,335.13,month,6,1
C00230,33,41.52,1336.92,two_year,4,1
C00231,61,78.58,4049.68,two_year,7,1
C00232,2,39.55,79.68,month,4,1
C00233,54,87.95,3989.28,month,3,1
C00234,35,41.41,1254.7,year,3,1
C00235,52,29.92,1327.16,year,5,1
C00236,48,40.7,2308.46,month,7,1
C00237,31,62.27,1764.25,month,1,1
C00238,22,37.61,779.5,month,2,1
C00239,45,33.47,1398.96,year,5,1
C00240,10,106.03,1229.21,month,6,1
C00241,42,52.04,2240.73,month,3,1
C00242,7,56.08,458.38,month,5,1
C00243,47,25.53,1103.88,month,0,1
C00244,45,55.74,2121.86,year,2,1
C00245,6,46.48,285.15,year,7,1
C00246,54,81.05,4106.28,year,4,1
C00247,30,40.54,1363.07,month,6,1
C00248,56,108.84,7020.08,month,1,1
C00249,3,112.97,335.19,two_year,2,1
C00250,13,29.98,463.22,year,7,1
C00251,36,30.74,1130.11,month,7,1
C00252,14,31.53,400.97,month,7,1
C00253,24,81.96,1958.37,two_year,2,1
C00254,47,32.2,1233.31,year,6,1
C00255,11,105.24,1298.41,two_year,3,1
C00256,49,95.43,3930.58,year,6,1
C00257,8,101.98,753.43,month,6,1
C00258,13,72.61,968.59,month,3,1
C00259,42,119.67,4107.31,month,2,1
C00260,57,24.42,1157.71,year,7,1
C00261,13,60.13,843.01,year,3,1
C00262,22,52.39,955.16,month,3,1
C00263,66,114.86,7511.27,two_year,5,1
C00264,71,77.69,5160.09,month,7,1
C00265,42,100.62,3766.38,month,1,1
C00266,32,37.03,1037.45,month,7,1
C00267,25,117.86,3256.96,two_year,3,1
C00268,44,69.86,3629.03,two_year,0,1
C00269,42,69.37,2494.2,year,2,1
C00270,21,117.09,2911.01,two_year,3,1
C00271,2,58.07,120.54,two_year,5,1
C00272,11,59.75,694.49,two_year,4,1
C00273,69,78.48,5869.83,two_year,1,1
C00274,30,32.81,1064.67,month,3,1
C00275,35,52.11,2057.16,year,1,1
C00276,34,39.32,1328.04,year,2,1
C00277,56,30.33,1721.14,year,5,1
C00278,5,106.61,495.49,month,6,1
C00279,6,78.93,398.8,year,1,1
C00280,20,55.87,1190.99,two_year,4,1
C00281,35,60.87,1733.0,month,3,1
C00282,48,63.15,2759.16,two_year,2,1
C00283,35,83.31,2442.58,month,5,1
C00284,32,112.68,3159.69,month,1,1
C00285,67,113.28,8010.93,month,6,1
C00286,12,59.15,746.28,year,3,1
C00287,41,52.93,2101.6,year,0,1
C00288,39,65.1,2122.7,month,6,1
C00289,34,76.79,2541.28,year,6,1
C00290,58,66.18,3612.35,month,4,1
C00291,19,85.88,1775.61,month,5,1
C00292,68,75.44,5292.08,two_year,1,1
C00293,24,52.07,1245.46,year,2,1
C00294,39,54.57,2117.15,year,2,1
C00295,37,57.86,2540.12,year,6,1
C00296,61,29.46,1981.29,two_year,2,1
C00297,32,36.61,1170.1,month,5,1
C00298,21,92.31,1922.4,month,2,1
C00299,2,58.91,95.5,month,4,1
C00300,26,41.45,1268.46,year,1,1
C00301,59,76.27,4174.45,year,4,1
C00302,1,95.55,86.22,year,0,1
C00303,64,45.74,3512.14,month,5,1
C00304,39,102.68,4354.82,month,0,1
C00305,10,112.75,923.36,year,7,1
C00306,22,79.74,1446.85,two_year,6,1
C00307,40,86.89,2815.93,month,4,1
C00308,23,25.26,604.13,month,7,1
C00309,8,114.55,759.35,month,6,1
C00310,48,59.25,3337.02,month,1,1
C00311,48,112.39,6337.52,month,5,1
C00312,9,77.9,714.02,month,3,1
C00313,20,20.46,428.29,year,6,1
C00314,18,23.85,393.56,month,6,1
C00315,47,88.04,3416.19,month,7,1
C00316,52,76.27,4342.75,month,3,1
C00317,52,22.65,990.19,two_year,1,1
C00318,67,94.35,5273.5,month,1,1
C00319,55,105.21,5349.6,month,1,1
C00320,23,69.64,1289.36,month,7,1
C00321,8,66.58,518.59,year,4,1
C00322,44,20.55,979.31,two_year,2,1
C00323,66,98.66,7296.46,month,3,1
C00324,70,53.07,3869.9,month,1,1
C00325,17,107.88,2088.42,month,4,1
C00326,17,57.31,937.83,year,3,1
C00327,3,76.51,261.55,two_year,6,1
C00328,11,47.03,518.67,month,0,1
C00329,40,36.06,1282.6,month,7,1
C00330,39,97.49,4477.59,year,0,1
C00331,27,69.66,1711.52,year,3,1
C00332,23,73.65,1372.91,month,2,1
C00333,59,116.54,6168.13,month,5,1
C00334,33,116.36,3635.12,month,5,1
C00335,58,105.56,5758.44,year,1,1
C00336,69,38.76,2700.83,year,3,1
C00337,23,79.43,2106.86,year,4,1
C00338,15,107.81,1482.82,two_year,3,1
C00339,68,57.45,3939.06,month,0,1
C00340,46,30.11,1296.49,month,1,1
C00341,21,101.1,2396.36,month,4,1
C00342,45,68.18,2647.89,two_year,2,1
C00343,37,76.44,2379.73,year,4,1
C00344,65,118.21,7692.86,month,1,1
C00345,19,80.72,1639.13,month,5,1
C00346,71,62.5,4962.06,year,1,1
C00347,67,57.0,3955.91,year,5,1
C00348,13,61.76,890.83,year,6,1
C00349,12,31.84,365.68,month,2,1
C00350,38,99.48,3073.89,two_year,1,1
C00351,4,103.77,351.34,year,0,1
C00352,22,48.44,869.05,year,2,1
C00353,31,50.38,1454.92,year,0,1
C00354,69,107.43,7399.3,two_year,7,1
C00355,71,22.4,1498.99,two_year,7,0
C00356,11,72.05,811.76,year,7,1
C00357,64,66.37,4214.73,month,7,1
C00358,7,89.01,667.42,month,4,1
C00359,54,36.34,2093.42,two_year,2,1
C00360,61,86.83,4911.17,year,3,1
C00361,64,57.67,3463.84,month,2,1
C00362,16,81.87,1354.53,month,6,1
C00363,64,24.01,1595.91,two_year,3,1
C00364,9,66.17,551.39,two_year,3,1
C00365,37,72.23,2491.12,two_year,5,1
C00366,34,41.43,1517.95,month,2,1
C00367,23,33.96,827.14,year,2,1
C00368,2,38.85,66.36,two_year,1,1
C00369,55,54.41,2921.98,month,0,1
C00370,24,29.68,824.21,month,0,1
C00371,47,114.73,4392.16,two_year,3,1
C00372,30,60.5,2072.85,month,7,1
C00373,27,100.9,2357.26,year,2,1
C00374,63,117.44,7420.17,year,5,1
C00375,7,28.07,190.54,year,2,1
C00376,53,85.17,3629.5,month,2,1
C00377,54,107.14,6746.88,year,1,1
C00378,27,83.42,2211.73,month,4,1
C00379,19,62.9,1412.26,two_year,5,1
C00380,1,63.11,57.73,month,2,1
C00381,67,23.59,1812.09,year,4,1
C00382,68,73.46,5839.26,year,3,1
C00383,18,119.35,2197.14,month,2,1
C00384,3,115.87,306.27,month,5,1
C00385,9,24.04,232.39,year,4,1
C00386,5,90.58,461.77,month,0,1
C00387,60,50.18,3546.16,month,3,1
C00388,64,110.3,6887.72,year,3,1
C00389,11,24.51,244.65,two_year,6,1
C00390,54,113.59,5246.38,year,2,1
C00391,13,103.75,1455.91,month,7,1
C00392,27,31.75,1019.82,two_year,4,1
C00393,43,25.98,906.38,year,1,1
C00394,52,103.47,5897.92,month,3,1
C00395,63,35.58,2624.33,month,7,1
C00396,4,73.49,243.96,month,2,1
C00397,14,111.57,1318.42,month,5,1
C00398,20,76.74,1652.65,year,6,1
C00399,23,59.72,1454.85,month,5,1
C00400,71,64.5,3789.68,year,0,1
C00401,56,26.31,1670.45,month,2,1
C00402,23,116.88,2713.43,month,2,1
C00403,69,51.07,4097.79,month,2,1
C00404,36,38.94,1613.79,year,7,1
C00405,36,48.6,1968.31,year,0,1
C00406,31,116.44,3632.6,month,4,1
C00407,11,29.43,291.58,month,7,1
C00408,67,106.73,7168.0,month,7,1
C00409,1,90.78,76.28,two_year,4,1
C00410,13,103.0,1424.08,month,7,1
C00411,17,117.59,1706.35,year,3,1
C00412,20,104.22,2093.72,month,4,1
C00413,10,114.34,939.59,month,4,1
C00414,2,32.69,60.14,year,0,1
C00415,49,99.58,4356.5,year,0,1
C00416,69,74.57,5392.37,month,7,1
C00417,9,74.35,745.91,two_year,1,1
C00418,22,109.89,1989.48,month,2,1
C00419,36,117.18,4809.55,month,4,1
C00420,66,90.48,6833.44,month,4,1
C00421,50,68.29,3199.07,year,4,1
C00422,55,65.64,3839.81,year,7,1
C00423,42,58.63,2366.54,month,6,1
C00424,30,56.16,1451.75,two_year,7,1
C00425,15,59.15,897.42,year,5,1
C00426,62,28.98,1499.48,two_year,7,1
C00427,58,27.74,1852.49,two_year,4,1
C00428,2,97.99,229.24,two_year,4,1
C00429,51,64.61,3719.01,year,6,1
C00430,6,113.07,695.39,month,6,1
C00431,53,81.22,4403.84,month,0,1
C00432,59,23.52,1656.67,year,7,1
C00433,10,35.75,321.45,month,5,1
C00434,31,40.58,1044.6,year,7,1
C00435,9,117.57,1084.35,month,5,1
C00436,41,41.87,1599.1,two_year,7,1
C00437,66,71.58,4388.55,month,2,1
C00438,6,113.62,547.31,two_year,1,1
C00439,29,117.72,3545.3,month,1,1
C00440,70,43.64,2766.47,month,2,1
C00441,22,24.91,479.6,two_year,1,1
C00442,10,35.36,288.6,two_year,3,1
C00443,35,26.33,871.55,year,1,1
C00444,37,39.51,1683.47,two_year,1,1
C00445,48,76.86,3448.25,month,4,1
C00446,23,111.24,2741.79,two_year,6,1
C00447,68,73.72,5527.38,month,1,1
C00448,37,82.6,2846.06,year,4,1
C00449,21,40.19,952.57,month,5,1
C00450,69,100.06,7434.05,month,5,1
C00451,66,81.78,5525.38,year,0,1
C00452,36,106.41,3066.13,year,5,1
C00453,2,114.88,187.03,month,0,1
C00454,43,54.79,2818.56,two_year,1,1
C00455,40,29.06,1293.65,year,2,1
C00456,11,42.59,550.49,month,6,1
C00457,46,63.78,3406.0,year,1,1
C00458,60,114.57,5555.57,month,6,1
C00459,8,57.83,516.65,month,7,1
C00460,52,97.08,4949.51,year,7,1
C00461,10,74.05,826.27,month,2,1
C00462,54,38.28,1659.25,month,0,1
C00463,30,52.07,1429.76,year,1,1
C00464,1,85.32,93.9,month,6,1
C00465,69,87.29,6728.96,two_year,1,1
C00466,12,63.48,798.24,year,5,1
C00467,43,42.86,1696.47,month,2,1
C00468,13,92.19,1107.56,year,6,1
C00469,67,36.89,2933.1,month,4,1
C00470,53,113.67,5878.02,year,4,1
C00471,58,38.79,2202.24,month,6,1
C00472,31,30.73,972.57,two_year,7,1
C00473,34,69.76,2285.98,month,2,1
C00474,46,71.95,3379.43,year,4,1
C00475,56,70.82,3858.58,month,5,1
C00476,61,63.67,4391.44,month,6,1
C00477,2,119.48,278.06,year,3,1
C00478,48,68.63,3863.63,year,2,1
C00479,8,67.79,556.27,two_year,6,1
C00480,21,62.18,1275.56,month,7,1
C00481,59,26.68,1703.35,month,4,1
C00482,18,79.3,1620.57,month,0,1
C00483,57,42.8,2501.06,month,2,1
C00484,33,83.76,2985.19,two_year,3,1
C00485,17,25.08,468.95,two_year,5,1
C00486,24,118.14,3035.42,two_year,5,1
C00487,38,66.9,2792.49,month,6,1
C00488,55,109.68,5329.37,month,0,1
C00489,44,67.56,2970.71,year,3,1
C00490,67,26.03,1805.59,month,5,1
C00491,62,102.22,5076.39,year,7,1
C00492,54,84.82,5232.44,month,1,1
C00493,43,98.18,4407.54,month,7,1
C00494,21,62.82,1123.52,two_year,0,1
C00495,30,83.79,2831.79,month,1,1
