pick_id,event_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,EVT_A,STA01,P,102.271571,0.8,use,577.57
E02,EVT_A,STA01,S,104.02602,0.7,use,563.82
E03,EVT_A,STA02,P,103.133807,1.4,use,339.24
E04,EVT_A,STA02,S,105.529822,0.6,use,316.94
E05,EVT_A,STA03,P,104.307597,0.7,use,261.51
E06,EVT_A,STA03,S,107.577321,1.0,use,259.0
E07,EVT_A,STA04,P,105.794411,1.1,use,125.19
E08,EVT_A,STA04,S,110.130845,1.0,use,176.04
E09,EVT_A,STA05,P,105.268186,1.3,use,171.74
E10,EVT_A,STA05,S,109.286473,0.5,use,184.32
E11,EVT_A,STA07,P,104.457731,0.8,use,226.6
E12,EVT_A,STA07,S,107.794816,0.7,use,203.84
E13,EVT_A,STA08,P,107.60585,0.6,use,108.95
E14,EVT_A,STA08,S,113.218804,0.6,use,118.18
E15,EVT_A,STA09,P,105.218856,1.3,use,154.57
E16,EVT_A,STA09,S,109.126592,1.2,use,191.21
E17,EVT_A,STA10,P,107.342189,0.9,use,103.13
E18,EVT_A,STA10,S,112.904961,1.1,use,100.9
E19,EVT_A,STA11,P,105.883057,1.4,use,135.77
E20,EVT_A,STA11,S,110.257609,1.1,use,152.24
E21,EVT_A,STA12,P,108.638649,0.7,use,74.05
E22,EVT_A,STA12,S,115.092099,0.8,use,93.09
E01,EVT_B,STA01,P,203.316419,0.6,use,673.27
E02,EVT_B,STA01,S,205.920413,0.8,use,496.29
E03,EVT_B,STA02,P,205.88137,0.9,use,390.1
E04,EVT_B,STA02,S,210.417456,0.7,use,303.76
E05,EVT_B,STA03,P,206.039551,1.1,use,226.19
E06,EVT_B,STA03,S,210.717266,1.1,use,239.55
E07,EVT_B,STA04,P,204.124633,0.7,use,141.45
E08,EVT_B,STA04,S,207.357698,0.9,use,120.62
E09,EVT_B,STA05,P,205.509517,1.1,use,185.77
E10,EVT_B,STA05,S,209.730061,1.2,use,142.17
E11,EVT_B,STA07,P,207.610747,0.7,use,185.15
E12,EVT_B,STA07,S,213.33326,0.5,use,234.17
E13,EVT_B,STA08,P,204.712332,0.7,use,93.27
E14,EVT_B,STA08,S,208.361617,1.4,use,114.79
E15,EVT_B,STA09,P,207.381443,1.2,use,183.92
E16,EVT_B,STA09,S,212.979312,0.9,use,154.99
E17,EVT_B,STA10,P,205.410757,0.8,use,81.67
E18,EVT_B,STA10,S,209.529614,0.7,use,119.78
E19,EVT_B,STA11,P,207.737716,1.1,use,116.26
E20,EVT_B,STA11,S,213.626662,1.4,use,151.63
E21,EVT_B,STA12,P,206.881322,1.5,use,81.24
E22,EVT_B,STA12,S,212.168265,1.0,use,90.04
E01,EVT_C,STA01,P,302.003055,0.6,use,639.94
E02,EVT_C,STA01,S,303.443515,1.1,use,629.31
E03,EVT_C,STA02,P,304.328994,0.6,use,337.19
E04,EVT_C,STA02,S,307.486904,0.9,use,378.09
E05,EVT_C,STA03,P,307.004283,1.5,use,192.08
E06,EVT_C,STA03,S,312.087651,1.4,use,203.88
E07,EVT_C,STA04,P,305.451723,1.2,use,160.05
E08,EVT_C,STA04,S,309.394676,1.0,use,137.12
E09,EVT_C,STA05,P,303.306632,0.6,use,168.22
E10,EVT_C,STA05,S,305.793261,0.9,use,161.16
E11,EVT_C,STA07,P,307.065301,1.4,use,211.83
E12,EVT_C,STA07,S,312.34774,0.8,use,203.01
E13,EVT_C,STA08,P,305.73239,1.4,use,109.44
E14,EVT_C,STA08,S,309.919022,1.4,use,92.89
E15,EVT_C,STA09,P,308.261203,1.1,use,184.04
E16,EVT_C,STA09,S,314.380342,0.7,use,154.63
E17,EVT_C,STA10,P,304.448866,1.3,use,91.47
E18,EVT_C,STA10,S,307.674138,1.0,use,86.16
E19,EVT_C,STA11,P,306.302414,0.5,use,122.23
E20,EVT_C,STA11,S,310.89118,1.4,use,118.16
E21,EVT_C,STA12,P,309.265023,0.8,use,82.78
E22,EVT_C,STA12,S,315.997125,0.6,use,90.17
E01,EVT_D,STA01,P,403.979245,0.6,use,519.72
E02,EVT_D,STA02,P,402.750216,1.0,use,300.04
E03,EVT_D,STA03,P,405.128535,1.3,use,227.97
E01,EVT_E,STA01,P,501.732772,0.6,use,648.02
E02,EVT_E,STA01,S,502.931173,0.8,use,707.96
E03,EVT_E,STA02,P,504.863567,1.4,use,341.77
E04,EVT_E,STA02,S,508.424007,1.0,use,309.06
E05,EVT_E,STA03,P,505.524855,1.2,use,192.76
E06,EVT_E,STA03,S,509.561111,1.5,use,201.35
E07,EVT_E,STA04,P,504.518084,1.1,use,132.44
E08,EVT_E,STA04,S,507.778731,0.6,use,129.58
E09,EVT_E,STA05,P,505.155817,0.7,use,131.24
E10,EVT_E,STA05,S,508.93424,0.7,use,165.13
E11,EVT_E,STA07,P,506.828541,0.7,use,190.35
E12,EVT_E,STA07,S,511.82708,0.7,use,248.94
E13,EVT_E,STA08,P,505.803651,1.4,use,101.76
E14,EVT_E,STA08,S,510.004573,0.7,use,107.5
E15,EVT_E,STA09,P,506.927818,1.2,use,144.78
E16,EVT_E,STA09,S,512.040215,1.4,use,195.31
E17,EVT_E,STA10,P,506.050462,1.1,use,101.2
E18,EVT_E,STA10,S,510.425314,1.3,use,116.72
E19,EVT_E,STA11,P,507.273675,0.7,use,143.49
E20,EVT_E,STA11,S,512.611992,0.9,use,137.66
E21,EVT_E,STA12,P,507.907129,1.0,use,79.67
E22,EVT_E,STA12,S,513.692374,1.5,use,71.31
E01,EVT_F,STA01,P,602.927797,0.6,use,487.9
E02,EVT_F,STA01,S,605.088245,1.4,use,699.51
E03,EVT_F,STA02,P,602.631839,0.7,use,335.42
E04,EVT_F,STA02,S,604.565398,0.9,use,382.04
E05,EVT_F,STA03,P,606.713646,0.8,use,220.31
E06,EVT_F,STA03,S,611.591987,0.9,use,190.34
E07,EVT_F,STA04,P,606.936886,1.4,use,156.34
E08,EVT_F,STA04,S,611.936646,1.5,use,122.1
E09,EVT_F,STA05,P,603.376343,1.3,use,140.04
E10,EVT_F,STA05,S,605.928659,1.3,use,167.0
E11,EVT_F,STA07,P,605.398222,0.7,use,192.83
E12,EVT_F,STA07,S,609.363714,0.9,use,250.58
E13,EVT_F,STA08,P,607.723462,0.6,use,84.43
E14,EVT_F,STA08,S,613.303495,0.8,use,110.17
E15,EVT_F,STA09,P,607.553827,1.3,use,177.46
E16,EVT_F,STA09,S,613.022882,1.5,use,190.02
E17,EVT_F,STA10,P,606.075712,1.5,use,90.43
E18,EVT_F,STA10,S,610.481558,0.7,use,102.49
E19,EVT_F,STA11,P,604.680932,0.8,use,136.6
E20,EVT_F,STA11,S,608.156591,1.0,use,136.17
E21,EVT_F,STA12,P,610.335062,1.2,use,93.37
E22,EVT_F,STA12,S,617.958563,1.0,use,97.6
F99,EVT_F,STA01,P,700.0,1.0,use,548.31
E01,EVT_G,STA04,P,703.338324,1.4,use,155.84
E02,EVT_G,STA04,S,705.785687,0.6,use,155.16
E03,EVT_G,STA08,P,706.545121,0.7,use,109.2
E04,EVT_G,STA08,S,711.185335,0.7,use,117.47
E05,EVT_G,STA12,P,701.3819,0.6,use,72.07
E06,EVT_G,STA12,S,702.445442,1.1,use,72.18
E07,EVT_G,STA09,P,708.933063,1.1,use,181.15
E08,EVT_G,STA09,S,715.465556,1.0,use,146.87
E01,EVT_H,STA01,P,801.336719,1.4,use,517.02
E02,EVT_H,STA01,S,802.27679,0.7,use,493.54
E03,EVT_H,STA02,P,804.291322,0.9,use,271.11
E04,EVT_H,STA02,S,807.376061,0.8,use,331.73
E05,EVT_H,STA03,P,804.98953,1.3,use,238.03
E06,EVT_H,STA03,S,808.668029,1.5,use,210.27
E07,EVT_H,STA04,P,805.465778,1.5,use,132.68
E08,EVT_H,STA04,S,809.448937,0.8,use,160.95
E09,EVT_H,STA05,P,805.745289,1.4,use,176.13
E10,EVT_H,STA05,S,809.985496,0.9,use,159.91
E11,EVT_H,STA07,P,806.061631,0.7,use,224.93
E12,EVT_H,STA07,S,810.555322,1.1,use,244.72
E13,EVT_H,STA08,P,807.353115,1.5,use,111.1
E14,EVT_H,STA08,S,812.726396,1.3,use,104.62
E15,EVT_H,STA09,P,806.397512,0.8,use,181.2
E16,EVT_H,STA09,S,811.065852,0.6,use,199.75
E17,EVT_H,STA10,P,807.467026,0.6,use,98.53
E18,EVT_H,STA10,S,812.997212,0.8,use,103.39
E19,EVT_H,STA11,P,807.275634,1.1,use,147.59
E20,EVT_H,STA11,S,812.553561,1.1,use,162.13
E21,EVT_H,STA12,P,808.921472,0.8,use,92.27
E22,EVT_H,STA12,S,815.424354,1.3,use,67.62
E01,EVT_I,STA01,P,904.465696,0.6,use,515.15
E02,EVT_I,STA02,P,903.207358,0.5,use,312.39
E03,EVT_I,STA03,P,908.557873,1.3,use,252.27
E04,EVT_I,STA04,P,908.234038,1.2,use,152.76
E05,EVT_I,STA05,P,902.183954,1.1,use,149.13
I50,EVT_I,STA06,P,904.0,1.0,use,
I51,EVT_I,GHOST,P,905.0,1.0,use,
I52,EVT_I,STA02,X,903.0,1.0,use,287.58
I53,EVT_I,STA02,P,903.0,0.0,use,363.98
I54,EVT_I,STA03,P,903.0,1.0,manual,
E01,EVT_J,STA01,P,1005.787416,0.6,use,642.11
E02,EVT_J,STA01,S,1009.997499,1.4,use,699.89
E03,EVT_J,STA02,P,1008.61588,1.3,use,338.5
E04,EVT_J,STA02,S,1014.872448,1.1,use,337.6
E05,EVT_J,STA03,P,1003.726561,0.8,use,190.92
E06,EVT_J,STA03,S,1006.43827,1.4,use,187.2
E07,EVT_J,STA04,P,1004.376394,1.4,use,144.6
E08,EVT_J,STA04,S,1007.514698,0.7,use,138.08
E09,EVT_J,STA05,P,1009.919398,1.3,use,146.64
E10,EVT_J,STA05,S,1017.201814,1.4,use,136.27
E11,EVT_J,STA07,P,1008.485377,0.7,use,247.9
E12,EVT_J,STA07,S,1014.744917,1.4,use,237.36
E13,EVT_J,STA08,P,1007.218653,1.3,use,102.63
E14,EVT_J,STA08,S,1012.350266,1.4,use,117.6
E15,EVT_J,STA09,P,1005.163279,0.8,use,204.24
E16,EVT_J,STA09,S,1008.905054,1.4,use,181.95
E17,EVT_J,STA10,P,1010.082738,1.3,use,92.21
E18,EVT_J,STA10,S,1017.378547,0.8,use,82.89
E19,EVT_J,STA11,P,1011.076746,1.4,use,153.65
E20,EVT_J,STA11,S,1019.152716,1.4,use,137.72
E21,EVT_J,STA12,P,1003.761752,1.0,use,86.55
E22,EVT_J,STA12,S,1006.54879,0.8,use,95.19
E01,EVT_K,STA01,P,1103.754628,0.5,use,518.85
E02,EVT_K,STA01,S,1106.453865,0.7,use,614.9
E03,EVT_K,STA02,P,1105.491025,1.5,use,356.68
E04,EVT_K,STA02,S,1109.583516,0.8,use,337.32
E05,EVT_K,STA03,P,1105.991718,1.5,use,191.91
E06,EVT_K,STA03,S,1110.366391,1.0,use,215.47
E07,EVT_K,STA04,P,1105.280873,1.5,use,138.73
E08,EVT_K,STA04,S,1109.117801,0.7,use,158.76
E09,EVT_K,STA05,P,1105.722818,0.6,use,186.21
E10,EVT_K,STA05,S,1109.90119,0.9,use,151.81
E11,EVT_K,STA07,P,1106.977268,1.1,use,225.45
E12,EVT_K,STA07,S,1112.066769,1.0,use,191.52
E13,EVT_K,STA08,P,1106.18926,0.8,use,117.38
E14,EVT_K,STA08,S,1110.724023,1.2,use,112.13
E15,EVT_K,STA09,P,1107.123334,1.0,use,173.63
E16,EVT_K,STA09,S,1112.268877,1.2,use,167.15
E17,EVT_K,STA10,P,1106.389088,0.9,use,94.04
E18,EVT_K,STA10,S,1111.020446,0.6,use,94.39
E19,EVT_K,STA11,P,1107.332722,0.8,use,165.57
E20,EVT_K,STA11,S,1112.688192,1.3,use,134.02
E21,EVT_K,STA12,P,1107.848356,0.8,use,82.09
E22,EVT_K,STA12,S,1113.583385,0.9,use,97.54
E01,EVT_L,STA01,P,1205.247695,0.6,use,632.1
E02,EVT_L,STA01,S,1209.322286,0.9,use,604.73
E03,EVT_L,STA02,P,1202.227033,1.4,use,326.69
E04,EVT_L,STA02,S,1203.427593,1.1,use,296.14
E05,EVT_L,STA03,P,1206.163964,0.5,use,216.74
E06,EVT_L,STA03,S,1210.95703,0.8,use,252.96
E07,EVT_L,STA04,P,1208.951479,1.2,use,156.1
E08,EVT_L,STA04,S,1215.906455,1.0,use,164.1
E09,EVT_L,STA05,P,1205.885452,1.0,use,143.59
E10,EVT_L,STA05,S,1210.43399,1.4,use,166.11
E11,EVT_L,STA07,P,1202.194333,0.6,use,245.04
E12,EVT_L,STA07,S,1203.677123,1.0,use,204.06
E13,EVT_L,STA08,P,1210.67782,1.3,use,107.53
E14,EVT_L,STA08,S,1218.524626,1.3,use,84.55
E15,EVT_L,STA09,P,1205.948188,0.7,use,202.44
E16,EVT_L,STA09,S,1210.321735,0.5,use,177.64
E17,EVT_L,STA10,P,1209.434436,1.3,use,90.98
E18,EVT_L,STA10,S,1216.502783,0.6,use,87.7
E19,EVT_L,STA11,P,1203.81375,0.7,use,142.2
E20,EVT_L,STA11,S,1207.032086,1.2,use,142.28
E21,EVT_L,STA12,P,1211.664658,1.2,use,68.33
E22,EVT_L,STA12,S,1220.42724,0.5,use,97.68
E01,EVT_M,STA01,P,1304.137379,0.6,use,692.82
E02,EVT_M,STA01,S,1307.11325,0.9,use,585.43
E03,EVT_M,STA02,P,1307.273633,1.0,use,286.65
E04,EVT_M,STA02,S,1312.625344,0.6,use,383.4
E05,EVT_M,STA03,P,1308.884732,1.0,use,229.28
E06,EVT_M,STA03,S,1315.428011,1.3,use,249.3
E07,EVT_M,STA04,P,1305.090589,1.1,use,149.17
E08,EVT_M,STA04,S,1308.821106,1.5,use,135.17
E09,EVT_M,STA05,P,1304.959436,1.2,use,184.71
E10,EVT_M,STA05,S,1308.569377,1.0,use,194.19
E11,EVT_M,STA07,P,1310.041101,1.4,use,187.79
E12,EVT_M,STA07,S,1317.364887,1.2,use,213.53
E13,EVT_M,STA08,P,1303.871492,0.7,use,94.99
E14,EVT_M,STA08,S,1306.701435,1.1,use,116.45
E15,EVT_M,STA09,P,1310.502421,1.1,use,170.79
E16,EVT_M,STA09,S,1318.193877,0.8,use,196.05
E17,EVT_M,STA10,P,1303.196208,0.8,use,116.37
E18,EVT_M,STA10,S,1305.514101,0.8,use,92.48
E19,EVT_M,STA11,P,1308.857881,0.7,use,155.53
E20,EVT_M,STA11,S,1315.365897,1.2,use,134.62
E21,EVT_M,STA12,P,1309.035596,0.9,use,95.78
E22,EVT_M,STA12,S,1315.669335,1.0,use,81.86
E01,EVT_N,STA01,P,1406.011368,0.9,use,670.84
E02,EVT_N,STA01,S,1410.422679,1.4,use,542.95
E03,EVT_N,STA02,P,1404.342428,1.4,use,311.16
E04,EVT_N,STA02,S,1407.570506,1.3,use,350.2
E05,EVT_N,STA03,P,1404.52647,0.9,use,275.21
E06,EVT_N,STA03,S,1407.841076,1.3,use,228.47
E07,EVT_N,STA04,P,1408.986018,0.9,use,127.75
E08,EVT_N,STA04,S,1415.480982,1.2,use,150.94
E09,EVT_N,STA05,P,1408.182794,0.7,use,152.81
E10,EVT_N,STA05,S,1414.247118,0.7,use,166.28
E11,EVT_N,STA07,P,1402.357051,0.8,use,212.88
E12,EVT_N,STA07,S,1404.101635,1.2,use,205.51
E13,EVT_N,STA08,P,1411.287771,1.0,use,92.53
E14,EVT_N,STA08,S,1419.548509,0.6,use,87.23
E15,EVT_N,STA09,P,1403.758481,0.9,use,183.67
E16,EVT_N,STA09,S,1406.537844,1.1,use,175.11
E17,EVT_N,STA10,P,1411.137165,0.6,use,90.75
E18,EVT_N,STA10,S,1419.248725,1.0,use,112.77
E19,EVT_N,STA11,P,1406.568278,0.7,use,113.92
E20,EVT_N,STA11,S,1411.356432,0.8,use,153.0
E21,EVT_N,STA12,P,1410.745629,1.3,use,88.31
E22,EVT_N,STA12,S,1418.614481,1.3,use,91.77
E01,EVT_O,STA01,P,1501.316687,0.5,use,567.51
E02,EVT_O,STA01,S,1502.263874,1.0,use,633.54
E03,EVT_O,STA02,P,1504.278093,1.2,use,381.86
E04,EVT_O,STA02,S,1507.381693,1.3,use,403.53
E05,EVT_O,STA03,P,1506.779177,1.4,use,229.0
E06,EVT_O,STA03,S,1511.723918,0.7,use,186.94
E07,EVT_O,STA04,P,1505.761117,0.6,use,148.78
E08,EVT_O,STA04,S,1509.945937,1.2,use,154.01
E09,EVT_O,STA05,P,1504.132872,1.2,use,186.99
E10,EVT_O,STA05,S,1507.194068,1.3,use,187.28
E11,EVT_O,STA07,P,1507.103807,1.2,use,204.25
E12,EVT_O,STA07,S,1512.294173,0.6,use,211.42
E13,EVT_O,STA08,P,1506.690116,0.6,use,97.92
E14,EVT_O,STA08,S,1511.449842,0.5,use,108.5
E15,EVT_O,STA09,P,1508.190848,1.5,use,164.09
E16,EVT_O,STA09,S,1514.236027,0.9,use,180.76
E17,EVT_O,STA10,P,1505.757927,1.2,use,87.53
E18,EVT_O,STA10,S,1509.946621,1.1,use,100.34
E19,EVT_O,STA11,P,1506.816031,1.4,use,165.52
E20,EVT_O,STA11,S,1511.761558,1.1,use,130.36
E21,EVT_O,STA12,P,1509.85509,1.3,use,87.9
E22,EVT_O,STA12,S,1517.027182,0.8,use,86.5
